Height (m),Width (m),Height-to-Width Ratio,Number of Windows,Columns,Symmetry,Decorative Elements (%),Architectural Style
29.889209069266872,9.625933308265608,3.1050712810986933,17,0,0.9032608666968291,25.5602675546799,Gothic
25.92706590914185,8.186607637415477,3.167009713601843,20,0,0.8073076353964234,33.200188781517426,Gothic
24.09277454601536,11.395040996749533,2.1143210062068127,25,1,0.8700209041508402,38.694875862535824,Gothic
16.377896287771105,8.17473608938828,2.003477067477621,18,1,0.722706079224761,22.13613085854505,Neoclassical
22.07627100734723,19.039773459180932,1.1594818107828957,23,1,0.8676364118791315,30.61505781356272,Gothic
22.28887564187864,17.45465924686111,1.276958508708033,49,1,0.5054399089179056,75.35447281417512,Baroque
18.62144875790221,20.28680558167749,0.9179093614778178,26,1,0.6808994440501118,55.98435266016271,Baroque
15.642270264222637,9.442790948226282,1.6565303997501768,24,1,0.9437489483419468,26.29873218551043,Gothic
25.240772622811065,14.869916687525508,1.6974387384420084,16,0,0.9217496138708158,23.28943490013845,Gothic
33.064743495173765,11.169020062715886,2.960397896100982,31,1,0.6451653073365484,81.27296131177565,Baroque
23.605611275067886,12.462480074571934,1.8941343242932889,23,1,0.5982953749362039,81.91727379148774,Baroque
24.24602387204705,13.831188771826683,1.7529963817307426,28,1,0.8355344165536307,18.86000929429315,Gothic
21.46189171452201,15.6915293444789,1.3677374106350844,24,1,0.6651949884328747,77.71125153295566,Baroque
20.509441977954957,9.89856923407299,2.071960249301189,26,1,0.9293082300107722,18.09647438172839,Gothic
17.041112429224366,5.769663956353238,2.9535710499152428,15,0,0.8931994114419642,14.37801166045328,Gothic
24.45532886373142,23.955050289795487,1.0208840544220876,43,1,0.6894317564411472,78.90088939607531,Baroque
23.52515549657071,11.427633577565183,2.058620040351615,20,1,0.800831442311967,39.94459311732022,Gothic
21.18385108651921,15.869434121423346,1.3348838354558294,15,1,0.9854197775729256,28.06701641742788,Neoclassical
23.280964051226583,16.612508531507892,1.401411713774055,29,1,0.9095567194736538,10.306418016304194,Gothic
21.35383860391449,12.768005190089012,1.6724490855071168,10,1,0.7071579726210011,29.796942715894232,Neoclassical
